German,French
"Ich komme gleich rüber, eine Sekunde.",Je viens te voir dans une seconde.
"Das weißt du ja sicher, oder?","Mais je t'apprends rien, non?"
Es gibt nur einen Weg aus diesem Tal.,Y a qu'un moyen de sortir de la vallée:
"Deshalb frage ich Sie, wollen Sie mit Gott ins reine kommen und beichten?",Et vous confesser?
"Barry, lhre Schwester auf Leitung 1.","Barry, ta sœur sur la ligne 1."
"Vollbringe eines für uns, damit wir dir glauben können.",Fais- nous croire en toi.
Ihr Anwalt muß einen Antrag stellen.,Meme s'ils la retrouvent... ils n'ont pas le droit de communiquer son adresse sans son consentement formel.
"Longovital, ""Kräuter - und Vitamintabletten"", so ein Scheiß.","Longovital, pastilles aux herbes et vitamines."" Non, Elin..."
"Sie reden mich gefälligst als ""Eure Hoheit"" an.","Vous vous adresserez à moi en disant ""Votre Altesse Royale""."
Wir nehmen euch die Luft weg,On va prendre l'air que vous respirez
"Oh nein, die Marke von deinem Daddy.","L'insigne de ton père, je peux pas."
"Mein Alter fühlt sich in letzter Zeit nicht so gut, verstehst du?",Vous voyez?
So tief ist der Teich nicht.,Ce n´est pas une mare profonde.
Mit 13. Er baggert die Behinderten- Torten an.,Il essayait de draguer ces salopes attardées.
"Kommissar Gordon dachte, Sie könnten mir lhre Meinung darüber sagen.",Le Commissaire Gordon pense que vous aurez un avis.
Ich war noch nie in einem Flugzeug.,Je n'ai encore jamais pris l'avion.
"Wusstest du, dass die Farmer auspacken?",Vous saviez que les fermiers déballent leurs affaires?
"Jedem, dem du die Wahrheit erzählst ist tot",Je me suis trouvé cinq étalons... et la moitié du Basin City Blues venus me tenir compagnie.
"Manchmal vertut sie sich auch, aber wenn es Ärger gibt, sieh zu, dass du ihn loswirst!","Parfois elle se trompe, mais s'il y a des problèmes débarassez- vous en."
"Oder das nasse Würgen, wenn jemandem das Blut raussprudelte...",de celui qui reprenait son souffle pour cracher...
Wir werden ihn schon noch erwischen.,"Vous en faites pas, on finira par l'avoir... un jour."
"Damit kriege ich so ziemlich jeden Preis, den es beim Rodeo gibt!","Je suis bon pour décrocher tous les prix, à ce rodéo!"
Ich finde Platz.... wird sich das Wetter ändern.,"Et alors, la température subira des changements."
"Ich kümmere mich um dich, wenn du krank bist.",Je prendrai soin de toi si tu es malade.
"Bist du sicher, dass es hier zu Jazy geht?",Tu es sûr que c'est la route?
"Du willst streiten, und ich bin froh, dass du noch lebst.","Vous allez bien, c'est tout ce qui compte."
"Der ist doch voll krank, Alter.",Mais il a toujours à bouffer.
"Du hast Angst davor, alleine zu sein.",Tu as peur d'être seul.
"Wenn er noch ein bisschen reift, wird er sehr viel runder.","Quand il évoluera, ils se dissiperont."
"Was machst du denn da, Jack?",Qu'est- ce qui te prend?
So 'n paar Sachen für so' nen Typen.,Et bien je... je fais quelques trucs pour ce type.
Bis hierher hab ich Sie gebracht.,Je vous ai conduits jusqu'ici.
"Nein, Coco hat die Tür aufgemacht.","Non, c'est Coco qui a ouvert la porte."
"Hast du verstanden, was ich gerade sagte?",T'entends ce que je te dis?
"Gut, ich sag alles, ich sag alles.",Je vais vous le dire.
Er will die Dias für den Vortrag.,Le Dr Alembert a besoin des diapos.
Also man nennt mich Konzentrationslager- Ehrhardt!,"Vraiment, on m'appelle ""Camp de concentration Ehrhardt""?"
Und frage dich Wenn du noch willst,Et te dis Tu as gagné
lch muss das zum Hotel bringen.,Je dois apporter ça à l'hôtel.
"lch glaub, da oben ist keiner.",Ça n'a pas d'importance.
"Und dieses Mal bestimme ich, wie er abläuft.","Cette fois, c'est moi qui organise."
"Wir sind an dem Punkt, wo wir nicht mehr wissen, was wir mit dir tun sollen.",Les choses en sont arrivêes à un stade où on ne sait plus quoi faire de toi.
"Da nur ich und Mama da wohnten, hatten wir all diese leeren Räume und Mama beschloss, sie zu vermieten, meistens an Leute, die weiterzogen, aus Orten wie Mobile, Montgomery.","Comme il n'y avait que moi et maman, on avait des chambres vides et maman a décidé de les louer, surtout à des gens de passage, venant de Mobile, Montgomery, des endroits comme ça."
Ich kenne meine Berufung noch nicht.,Je ne connais pas ma vocation.
"Jede Woche gab Tyler die Regeln aus, die er undich entschieden hatten.","Chaque semaine, Tyler annonçait nos règles."
Und die können Sie mir schicken.,"Et elle, je peux?"
"lch weiß, dass ich störe, weil Sie sich so gut selbst amüsieren... aber jetzt beginnen wir mit der Show, die gehört eben dazu.",Mais on a un petit spectacle.
"Ich bemühe mich, vorsichtig zu sein.",J'y vais doucement.
Sie bekamen Angst und rannten fort.,lls ont pris peur et se sont enfuis.
"Vielleicht, sollte jemand einen Arzt rufen oder so","Tandis que je marche, à travers la vallée de l'ombre de la mort..."
"Alles was jetzt geschieht, geschieht jetzt.",Tout ce qui arrive maintenant arrive maintenant.
"Ich weiß nicht, was gestern geschah.","Moi, je ne sais jamais ce qui s'est passé la veille."
Er hat mir seine Karte gegeben.,Il m'a donné sa carte.
"lch weiß nicht, wo die Deutschen sind!",Je ne sais pas où sont les Fritz!
ED IM TRUCK SIEH DIR DIE ÜBERTRAGUNG AN,MESSAGE POUR ED ACTIVE TRANSMISSION CFXI
Wie könnt ihr da die 2. Halbzeit spielen?,Et vous voulez jouer la seconde?
i>Lady Scout Zweite und Miss Petrina Dritte. </ i>,Sentinelle en deux et Miss Petrina en trois.
"Sind Sie bereit, dem Geheimdienst zu helfen?",Aiderez- vous les services secrets?
"Das wirst du, wenn die Geschichte... vollendet ist...",Tu sauras tout quand l'histoire sera consommée...
Hier kriegen wir nie was zu essen.,Je boufferais bien un morceau.
"Nicht nur das, ich komme mit ich schütze meine lnvestition.","Je viendrai aussi, pour protéger mes intérêts."
Du weißt doch von diesem Mädchen überhaupt nichts.,Tu ne sais rien d'elle.
"lch sah Bäume, Zäune, Akazien, Alleen.","Avec des arbres, des haies, des acacias, des allées."
"Nun, das ist nicht so einfach, wie es klingt.",C'est moins facile qu'il n'y paraît.
"Sie sagten doch, sie sei ermordet worden.",Vous disiez qu'elle avait été assassinée.
Wie oft masturbierst du am Tag?,Tu te masturbes combien de fois par jour?
"Guck hier, die haben auch einen Pinot.","Écoute, ils ont un Pinot Réserve."
Seh ich aus wie Chicken George?,Ai- je l'air de l'Oncle Tom?
Ich setze meine Maschinerie in Bewegung.,Je vais mettre la machine en marche.
So kann man nicht mehr spielen.,Qu'est- ce que c'est que cette façon de shooter!
"Die Stellung um jeden Preis halten?""",Tenir à tout prix?
Du bist jetzt in der Armee!,T'es à l'armée!
"Kaya Maghan ernannte mich zum Armeechef, um mich über ihren Verlust hinwegzutrösten.",Kaya Maghan m'a nommé chef des armées pour me consoler de la perte de ma fille.
"lst es so amüsant, uns weinen zu sehen?",C'est si drôle de nous voir pleurer?
"Ich dachte, Sie sollten es wissen.",Je devais vous le dire.
Kann ich dich... ein letztes Mal fragen?,Puis- je te le demander une dernière fois?
"Hennessy, Beeman, das waren auch mal deine Freunde, weißt du das noch?","Hennessy, Beeman, c'étaient tes amis aussi, tu te rappelles?"
"Wie viele andere, warich zum Sklaven des Ikea- Nestbauinstinktes geworden.","Comme bien d'autres, j'étais devenu esclave du trip IKEA."
Regel Nr. 2 des Fight Club ist:...... Man redet nicht über den Fight Club!,Deuxième règle du Fight club: on ne parle pas du Fight club.
"Mein Herr, das Banner gehört zum Oberhaupt des Clans.",la bannière suit le chef du clan.
Sie haben das Konzert aus dem letzten Jahr wiederholt.,Le concert a été enregistré il y a 1 an.
"Dein Arsch macht sich am besten schon mal warm, pass mal auf, so.",C'est ce que je vais faire contre ton cul.
Sie ist mit einem Haufen Geld durchgebrannt.,Elle est partie avec beaucoup d'argent.
"Der Mob, es wird wieder wie früher","Tiens, quand on parle du loup."
Es ist nur ein unverdienter Ruf.,C'est une réputation usurpée.
"Das ist schön zu hören, aber unwichtig",Ca fait plaisir mais ça compte peu
Besser lief es vor dem Petersdom,Pourtant à Saint- Pierre elle attirait tous les regards
Irgendwie fiel mir Pingpong sehr leicht.,"Je sais pas pourquoi, le ping- pong m'est venu naturellement."
Ich traf Victor und er bot mir ein schönes Leben.,"J'ai rencontré Victor, et il m'a montré la belle vie."
"Komm einfach heute Abend, Crapgame, dann zeigen wir es dir.",Tu verras!
"Ich mag dich und will nicht, dass dir wegen mir was zustößt.","Je tiens à toi, je ne veux pas qu'il t'arrive malheur à cause de moi."
Willst du sonst noch etwas von mir wissen?,Veux- tu me poser d'autres questions?
Ich hab 'dich du kleiner Bastard.,Regarde les têtes sur le mur.
Das Leben vieler Menschen wird nie mehr so sein wie früher.,N'oublions pas tous ceux dont la vie a été bouleversée.
Bist du mit Markus im gleichen Kurs?,"Désolée, mais je préfère être heureuse maintenant."
"Die Jungs denken, ich hätte ihre Familie getötet.",lls pensent que j'ai tué leur famille.
Du kommst nicht durch den Sturm.,Si elle s'arrête.
"Es heisst, sie wurden intelligent - eine neue Form der Intelligenz.",Une nouvelle forme d'intelligence.
"Erst wollte er einen Cowboyhut, dann einen Safarihelm.",Le chapeau de cow- boy est devenu un casque colonial.
Es ist wegen der Handtasche... die sie in meinem Büro vergessen hat.,Je voudrais le lui envoyer et la rassurer.
Sie hatten Dutzende von Leben schon zuvor.,Vous avez eu des tas de vies avant celle- ci.
"Majestät, die Stadt ist in Alarmbereitschaft.","Majesté, la ville est en état d'alerte."
"Dies ist ein Beispiel für den neulichen Wandalismus in unserer Stadt,...... der irgendwie mit Untergrund- Boxclubs zu tun hat.",liés aux clubs de boxe clandestins.
"Was ich nicht gemacht habe...... ist mich mitten in der Nacht mit Ochsenfröschen unterhalten, du Narr!",Une chose que je ne faisais pas... c'est de parler aux crapauds au milieu de la nuit.
"Dwight, was zum Teufel hast du mit ihm gemacht","T'as encaissé sans broncher, alors qu'il te suffisait de piquer mon flingue."
Und es gab immer etwas zu tun.,Et il y avait toujours un truc à faire.
"Nygma- Tech"" bringt Ihnen den Genuß von 3- D Unterhaltung ins Haus!","Avec Nygma Tech, la joie du spectacle 3- D dans votre salon!"
"Wenn ich Würmer fangen musste, habe ich sie einfach herausgelockt.","Pour attraper mes vers, le meilleur moyen, c'était de les appâter."
Und dann war Jenny einmal nicht im Schulbus.,"Et cette fois- là, Jenny n'était pas au bus pour l'école."
Erinnerst du dich an den Plan?,Tu te rappelles le plan?
"Alle Hoffnung zu verlieren, bedeutete Freiheit.",Perdre tout espoir m'avait libéré.
Das ist das Haus meines Vaters!,Ceci est la maison de mon Père!
Wir machen einen Ausflug zu meiner Hutte.,On va faire une balade á mon chalet.
"lch wette, du hattest niemanden, dem du was vormeckern konntest.",Tu as personne comme moi avec qui discuter.
"Als wir klein waren, haben wir uns manchmal Nachrichten geschrieben.",ont se laissé souvent des messages...
"Nein, das kommt nicht in Frage.",Il n'en est pas question.
"Da Sie die Tür aufgemacht haben, sollten Sie sie auch wieder schließen.","Tu as ouvert la porte, il fallait la fermer, c'est tout."
"Ich habe dir bereits gesagt, das Volk braucht einen Helden.",le peuple a besoin de héros.
Ich wollte es vor seiner Abreise melden.,Je devais vous prévenir avant le départ du professeur.
Und ohne den kann ich nicht leben!,Et je ne peux pas vivre sans!
"Hör mal, sie ist 14, und du bist 17.","Elle a 16 ans, oui."
"Gondorff bläst alles ab, wenn er hört, dass das FBI drinsteckt.","Si Gondorff apprend qu'on est sur le coup, il va remballer l'affaire."
"Ich wette, ihr 2 küsst euch nicht!",Ils sont tellement beaux.
"Oh, Scheiße. lch glaub, die kommen her.",Je te rejoins.
Du kannst so gut mit Worten umgehen.,Tu as le sens des mots.
Was würdet ihr an meiner Stelle machen?,Que ferais- tu à ma place?
"Glauben Sie, mein Volk möchte nach 360 Jahren Sklaverei mit 500- $- Chips zurück auf die Baumwollfelder geschickt werden?!",On a subi 362 ans d'esclavage pour être renvoyés dans les champs avec des jetons de 500$?
"Tja, ganz sicher bist du nicht hergekommen, um dich an einer mitfühlenden Schulter auszuheulen.","Bon, je suis sur que tu n'est pas venu ici pour trouver une épaule sympathique pour pleurer dessus"
"Alltägliche Bürger, alltägliche Helden. </ i>","Ils vivent parmi nous, tels des citoyens ordinaires."
Nach einer halben Stunde kam ich raus.,Après une demi- heure de vol à l'estime j'ai débouché sur un espace découvert.
"Wie gesagt, dein Buch hat mir wirklich gefallen.","Et comme je t'ai dit, j'ai vraiment adoré ton roman."
Jeamnd hat gut bezahlt für diesen Hinterhalt,Quelqu'un a dû allonger un paquet pour monter un coup pareil.
Sie schlafen nicht... sie sind tot.,Ils sont morts
"Sie sprechen mich niemals mit ""Sie"" an.","Ne m'adressez jamais la parole en disant ""vous""."
"Aber ich bitte Sie, mich John zuliebe als Ihren Freund anzusehen.","Ca doit être pénible pour vous, mais pour le bien de John, voyez en moi un ami."
Ich weiss nicht... was an diesem Tag über mich kam.,J'ignore ce qui m'a pris ce jour- là
"Dort, auf dem Schreibtisch meines Vaters, das rote Buch.",le livre rouge.
"Die Symbole der äusseren Reihe, die Sie versucht haben zu übersetzen,","Alors, à I'extérieur en cercle..... ces figures- là, que vous aviez prises pour des mots,..... que vous vous êtes efforcés de traduire, étaient en fait..."
Sie waren so cool mit der Pistole.,"Ca vous allait bien, le pistolet."
i> - Warum haben wir so viel Kram?,Pourquoi a- t- on autant de trucs?
"Ich war bereit, mich mit jedem anzulegen.",Je m'affichais devant leurs visages hostiles.
"Du wirst mir bestimmt fehlen, Schätzchen.",Je vais me sentir seule.
"Laszlo... wenn wir zurückkommen, musst du dich versetzen lassen.",Je gagnerai son respect.
"Sagen Sie, dass Sie der Besitzer der Bubba- Gump- Shrimps- Corporation sind?",Vous êtes le propriétaire de la marque Bubba- Gump?
"Sartorius ist da, Gibarjan ist tot.",Guibarian est mort.
"Diese Harte- Kerl- Masche mag bei manchen ziehen,","Votre numéro de gros dur peut plaire à des filles,"
Es war woh / Schicksa /.,C'était le destin.
"Siehst Du, Königin, wie England Dich liebt.","Vois, ô M ajesté, C omme l'Angleterre t'adore."
Wenn ich Ihnen nur kurz erklären dürfte...,"Laissez- moi une seconde, je vais vous expliquer..."
Und sie findet es voll geil!,Tu me les gonfles!
"In ""Rush Hour 3"" spielt der nicht mehr mit.",ll sera pas dans Rush Hour 3.
Packt das ein und geht wieder rein!,Rassemblement à I'intérieur.
"lkoma und Ogura, lhr habt viel getan für die lchimonjis in diesen schweren Zeiten.",Vous avez bien travaillé pour les lchimonji en ces temps troublés.
Außerdem wirst du die nächsten 24 Stunden sowieso nichts zum Anziehen brauchen.,"D'ailleurs, pendant les 24 heures qui viennent... inutile de t'habiller."
Sie führte mich herum und stellte mich ihren neuen Freunden vor.,Elle m'a fait visiter et m'a présenté à ses nouveaux amis.
"Unwichtig, die Geschichte nimmt ihren Lauf.","Quoi que tu fasses, l'histoire suivra son cours."
Los! lch muss Sie hier rausbringen!,Sors d'ici!
"Carly, das war doch alles nur Scheiß!","Carly, Je déconnais."
"Also gut, wenn du meinst, aber ich weiß nicht.","Je suis pas si sûr, mec."
"Brauchst du nicht, es ist egal.",Je vais lui parler.
"Wir verkauften reichen Frauen ihre eigenen, fetten Hintern wieder.",On revendait aux riches clientes leur propre graisse.
"Ich merk schon, was hier abgeht.",J'ai compris...
Den Panzer hier zu lassen und zu Fuß zu gehen.,"Le char au trou, les mecs a pied!"
Die grösste Verwüstung seit dem Anschlag aufs World Trade Center.,Cet acte de destruction n'a d'égal que l'attaque du World Trade Centre.
Werden wir uns je wieder sehen?,Nous reverrons nous jamais?
"Predige mir nicht, was richtig oder falsch ist!",Ne me faites pas de sermon!
Mein Herr hat mir alles erzählt.,Monseigneur m'a tout raconté!
"Wie kommen die dazu, uns Kiffer zu nennen?",J'arrive pas à croire qu'ils nous ont appelés les baiseurs.
"Sie gehören zu denen, die mir folgten.",T'es avec ceux qui me suivent!
Seht ihr? $25 ist doch billig.,25 $.
"Aber Yoghurt, was ist das für ein Ort hier?","Mais, Yogurt, quel est cet endroit?"
Das Schicksal des Landes ist in unserer Hand.,Le sort du pays est entre nos mains.
"Sie muss gesäubert, gut geölt und aufgezogen werden.","l'entretenir, la graisser et la remonter."
"Nein, sie hat sie nicht gesehen.",Non elle ne l'a pas vue.
Kommen Sie später vorbei und ich verrate es Ihnen.,Revenez plus tard et je vous le dirai.
Logistik kommt uns schon zur Nase raus!,"J'en ai jusque- là, de la logistique!"
"lch habe Scotch und die Strümpfe, die Sie wollten.",J'ai ton scotch et les bas nylon.
"Wir senden live, direkt von hier.",On va émettre d'ici.
"Das war alles, was ich begehrte",Même si tout I'univers imaginait le contraire
Ich bin auch in Los Angeles.,Moi aussi.
Er sprang auf mich wie ein wilder Vogel und krallte sich in meinem Kopf fest.,ll me sautait dessus comme un rapace et plantait ses serres dans ma tête.
Bald ist es auch damit vorbei.,Pas de quoi me faire cirer les pompes.
Du versuchst nun schon seit einem Jahr diesen Baum zu trimmen.,Tu as déjà passé une année entière à élaguer cet arbre.
"Scheiß drauf, sonst komme ich nie mehr rein"".","Je vais lui faire vite son affaire ""."
Ein Schritt näher zum wirtschaftlichen Gleichgewicht.,Un pas de plus vers l'équilibre économique.
Am liebsten hab ich sie frittiert als Nuggets.,"Je les aime frits, façon nuggets."
"Nur um zu hören, ob' s einen Unfall gab auf dem Mulholland Drive.",Juste pour voir s'il y a eu un accident sur Mulholland Drive.
Ich hab dir so viel zu sagen!,J'ai tant à te dire.
Ich löse unsere geschäftliche Beziehung etwas früher auf.,Je mets fin à notre coopération.
"Oh Göttin, lass mich unsterblich werden durch deinen Kuss, und Nektar und Ambrosia speisen.",Nous vivrons de nectar et d'ambroisie.
"Ich kürze ab um Jackie Boy abzufangen, der den Hügel hinauf brettert","Mettez- moi aussi une douzaine de ces tuyaux en caoutchouc,"
"Ist immer noch Rekord, stimmt' s?","C'est toujours le record, non?"
"Na, dann wollen wir uns alle mal hinsetzen!","Non, non ça va."
"Ich hoffte, dass sie mit dem, was sie tat, glücklich war.",J'espérais que ce qu'elle faisait la rendait heureuse.
"Wir haben telefoniert, weisst du das noch?","Tu m'as parlé, tu te rappelles?"
"Wir können nicht warten, bis es dunkel ist.",Impossible d'attendre la nuit!
"Wenn Du glauben könntest, das dich jemand liebt, jemand Liebe ist, dann ginge es dir besser.","Si tu pouvais croire qu'il y a quelqu'un qui t'aime, tu te sentirais mieux."
"Wir bewachen Sie, wenn Sie schlafen.","On cuisine tes repas, ramasse tes ordures, connecte tes appels, conduit tes ambulances, veille au grain quand tu dors."
Bis jetzt hast du vier und ich nur zwei.,"Pas tout le cerveau. ça t'en fait quatre et moi, deux."
"Miles, vielleicht ist es besser, wenn du nicht zur Hochzeit kommst.",Ne viens pas.
Alles Weitere besprechen wir morgen früh.,On décidera pour le reste demain matin.
Sie rannten eben durch einen Haufen Hundescheiße!,Tu viens de marcher dans une grosse merde de chien!
Möcht ich dich Zur Himmelspforte entführen,Je t'emmène au Pays de I' Amour
"Wenn Mami... das merkt, bist du dran.","Si maman te pince, attention"
"Ich habe das Gefühl, dass sie zurück zu sich gefunden haben.",Je les sens qui reviennent.
Ich wollte nicht mit Ihnen ausgehen und Ihnen etwas verheimlichen.,Je veux pas aller trop loin avec toi en te cachant quelque chose.
Ich liebe ihn und all das Zeug und...,"Je l'aime bien, malgré tous ces trucs- là."
"Vielleicht ist das schwer zu glauben, aber manchmal schauen wir Engel auf euch nieder und beneiden euch.","Tu le trouveras peut- être dur à croire, mais parfois nous les anges regardons les hommes et vous envions."
"Ich denke, du solltest heim nach Greenbow, Alabama!","Je crois que tu devrais rentrer à Greenbow, en Alabama!"
lch will mir da gar keine Hoffnung machen.,Je me fais pas de film.
Und deinem Goldfisch baue ich ein Bassin!,Et une piscine pour ton poisson rouge.
"Nôi, ich zeig dir 'nen Trick, der immer funktioniert.",Tu flashes sur aucune nana?
Ich hab euch Chips und Limo gekauft.,J'ai acheté des chips et des boissons.
Wir hielten die Welt in unseren Händen.,Nous avons eu le monde entre les mains.
"Kämpfe gehen so lange, wie nötig.",les combats vont jusqu'au bout.
Und daran hast du gut getan.,Il m'a agressé.
"Er sagt, dass da oben ein Wagenzug feststeckt.",Il dit qu'il y a un wagon de train bloqué par là- bas.
"Wo wuchsen Sie auf, im Schweinekogen?",On t'a élevé à l'écurie?
"Sag Dreifinger- Sweeney, ich bezahle ihn nächste Woche.",Dis à Sweeney Trois- doigts que j'le payerai la semaine prochaine.
"Das Schlangenei ist sauber und weiß, das Spatzenei fleckig und grau.","Sale et gris, I'oeuf du moineau!"
Es gibt nur eine Frau auf dieser Welt.,ll n'y a qu'une seule femme au monde.
"Möchten Sie, dass wir die ganze Sache abbrechen?","Est- ce que c'est... ce que vous attendez de nous, tout abandonner?"
Sie sagt Ihr Name sei Goldie,Elle dit qu'elle s'appelle Goldie.
"Ich fand den Mörder, aber er war besser als ich","Mon fils, nous sommes dans maison de Dieu."
Jenny kam zurück und blieb bei mir.,Jenny était revenue et est restée avec moi.
"Josef, Liebster, ich schwöre, ich weiß nicht, wer es ist.","Jozef mon cœur, je te jure que je ne sais pas qui c'est."
"Abendessen ist fertig, wenn Sie wollen.","Le dîner est servi, si vous voulez manger."
lch wäre in den Staaten und würde Bomben prüfen.,A trier des cartouches!
Gott hat dich zu etwas ausersehen.,Dieu a un plan pour vous.
Auf einer langen Zeitschiene...... sinkt die Überlebensrate eines jeden auf null.,le taux de survie de chacun tombe à zéro.
Der heutige Versuch wird an folgenden Orten vorgenommen:,L'expérience de ce soir se déroulera dans ces endroits...
"Mein Freund teilte mir gerade mit, dass die Gewehre dort sind, okay?",D'accord?
"Na ja, vielleicht sollte ich jetzt...","Je devrais rentrer, maintenant."
Einer von euch muß Batman kennen.,L'un de vous sait qui est Batman.
Die Wahl liegt bei Ihnen. </ i>,Vous pouvez mettre à profit votre talent... ou continuer d'espionner la fréquence radio de la police.
Und dann brauchen die zu lange oder nicht lange genug zum Kommen.,"Puis ça leur prend trop longtemps, ou pas assez pour jouir."
"lch bin nicht so ein Mädchen, wie du dir mich vorgestellt hast.",Je ne suis pas celle que vous croyez.
"Saburo ist direkt, vielleicht auch respektlos.","Messire Saburo est vif, voire irrespectueux."
"Und warum kommst du nicht rüber und zeigst mir, wo' s ist?","Pourquoi est- ce que vous ne venez pas me montrer, alors?"
Nimm' s ihr nicht übel Du bist genauso,Et toi tu fais pareil
"Schätzchen, du bist ein gutes Mädchen, aber du erzählst mir Märchen!","Coco, c'est quelqu'un de bien."
Du und Moose besorgt alte Autos.,"Trouve des voitures, on va s'amuser ce soir."
"D och grausam floh auch die Wolke in das glückselige Land, das mich früher nährte.",Le sol aimé qui m'a nourrie.
"Schliesst eure Augen und... versucht, es euch vorzustellen.",Fermez les yeux pour essayer de l' imaginer
"Vorsicht, als Kiffer kriegt man leicht Ärger.","Et gaffe hein, les baiseurs."
Sie wird heute wohl im NASA sein.,Elle devrait être au Nasa ce soir.
Oder ist alles nur eine Frage von Glück?,"Es- tu quelqu'un qui voit des signes, des miracles, ou penses- tu que c'est la chance qui décide?"
"Die Menschen ziehen Schmerz der Freude vor, sie setzen Leiden über Frieden.",la peine plutôt que la paix!
Ich denke unheimlich oft an dich.,Je pense beaucoup à toi en ce moment.
Aber Faith kam nicht damit klar.,Mais Faith ne pouvait pas s'arrêter.
Da gibt anscheinend jemand ein Paket ab.,Quelqu'un lui livre un paquet.
Im zentralen Hirnbereich muss ein Selbstzerstörungsmechanismus sein.,Il doit y avoir un mécanisme d'auto- destruction dans la zone du cerveau central.
"Empfangen vom Heiligen Geist...... geboren von der Jungfrau Maria, gelitten unter Pontius Pilatus...... gekreuzigt, gestorben und begraben.",Est descendu aux Enfers.
"Sie denken, ich will sein Geld?",Vous croyez que j'en ai apres son argent?
"Ich rate Ihnen auch nicht, ein Formular WS2475 auszufüllen und in der Rechtsabteilung einzureichen.","Je ne peux pas non plus vous recommander de remplir le formulaire WS2 475 et de le donner à notre service juridique, au 2ème étage."
"Häng das zur Batman- Ausrüstung, wo es hingehört.","Rangez ça avec le Batcostume, c'est sa place."
"Ich dachte, ich hätte einen König geheiratet.",Je croyais avoir épousé un roi.
"Also hab ich gedacht, wir gehen vielleicht wandern.",On va se faire une petite balade.
"Man sah, dass sie für ihren Körper was macht.",Elle prend soin d'elle.
"Sterbe ich, gibt es nach den Regeln nur einen Ort, an den ich gehen kann.","Quand je mourai, la loi dit qu'il n'y a qu'un endroit où je puisse allez et un seul."
y: i} Roxy war sein ganzes Leben ein Ganove.,Roxy avait passé sa vie à calculer que 2+2=5.
"Wir sind genau wie andere, wir lieben den Gesang, den Tanz, wir bewundern schöne Frauen, wir sind menschlich.",Nous admirons les jolies femmes.
Wieso stehst du eigentlich so auf Ungeziefer?,Qu'est ce que tu a avec les insectes?
Oder schalte ich ihn aus und riskiere alles?,Et une paire de gants matelassés pour éviter... de me trancher les doigts.
Sie sollten jetzt zum Flughafen fahren.,Vous devriez aller à l'aeroport.
"lch fange an...... zu glauben, dass du hier Stammgast wirst.",Je commence à croire que tu es un habitué de la maison.
Davon haben wir Gary nämlich gar nichts gesagt.,On n'en a jamais parlé à Gary.
Willst Du immer noch mit uns kämpfen?,Tu veux toujours te battre?
Es klang mehr nach Nahem Osten.,Plutot du Moyen- Orient.
Er hatte die Stimme... eines Engels,J'avais un visage... maintenant j'ai un nom.
Du hast sie wohl nicht alle.,"Mais, t'es cinglé ou quoi!"
Wir haben halt einen Fehler gemacht.,On a fait une erreur.
Bestimmt bist du in Rattenscheiße getreten.,"Tu fouettes, t'as dû marcher dans une crotte de rat."
Sia muss fürs ganze Land sterben.,Sia doit mourir pour tout le pays.
"lch meine, du bist gerade dabei, dir hier eine fette Chance zu versauen.",Tu fous en l'air une belle occase.
Nur er kann den Herrn retten.,Lui seul le sortira d'ici.
"Afghanische Frauen, verwandelt euren Schmerz zu Stein!","Femmes afghanes, que vos peines se fassent pierres!"
"Du wirst bestraft und tust, was ich sage.",Tu es punie et tu fais ce que je dis
"und dass es mir wirklich sehr Leid tut, wie sich die Dinge entwickelt haben.",Combien je suis désolé de la tournure des évènements.
"25 Jahre sind so lang, das kann man sich nicht vorstellen.","Tu pourrais te réjouir de voir que tout n'est pas facile pour toi, car les gens sans problèmes deviennent souvent inintéressants."
"Ich werde tun, was ich kann, aber ich kann es nicht als Priorität behandeln.","Je verrai ce que je peux faire, mais ce n'est pas une priorité."
Bestätigen Sie bitte den Termin um 13 Uhr fürs Essen im Jules Verne im Eiffelturm.,"Veuillez confirmer déjeuner ce jour, 13 h, restaurant de la Tour Eiffel."
Um wie viel Uhr macht ihr zu im...?,"T'as fini tard, au Kali...?"
Vielleicht ist sie nur weggefahren oder hat das Land verlassen.,Elle est peut- être partie en voyage ou a quitté le pays.
"lhr müsst zugeben, das ist echt cool.","Allez, avouez que c'est plutôt cool!"
Ich will diesen Namen nicht hören!,"Du calme, patron."
Das ist ein Gartenzwerg im Bademantel!,C'est un nain en peignoir!
Euer Vater kämpfte für England auf der Seite der Guten.,"Votre père s'est battu pour l'Angleterre, avec les bons"
"Auf dem Antlitz dieser Tyrannin ist die grausame Verurteilung, die schreckliche M ißgunst zu sehen.","Le féroce sentence, La terrible malice."
Es ist alles für den Moment.,C'est pour le présent.
"Ich verbinde Sie mit einem hübschen Mädchen,... wenn Sie mir Ihre Kreditkarten- Nummer geben, samt Ablaufdatum.",Je vous branche sur une belle fille... si j'ai votre numéro de carte de crédit et sa date d'expiration.
Nimm Daskal und lass uns gehen.,Descends Daskal et laisse- nous filer.
"Hast du einen Namen, oder soll ich dich Bats nennen?","Vous avez un prénom, ou je dois dire ""Bats""?"
Ich bin weder boshaft noch schadenfroh.,Je ne suis ni malveillant ni méchant.
"lch erwarte von euch, dass ihr gehorcht!","Allez vous tous, obéissez!"
"Anne, erinnerst du dich an die Geschichte von Justus und Pastor?",Te rappelles- tu l'histoire de Justus et Pastor?
