German,French
i>Lady Scout Zweite und Miss Petrina Dritte. </ i>,Sentinelle en deux et Miss Petrina en trois.
Die Lehrer spielen eine wichtige Rolle in unserer Ausbildung.,Les enseignants jouent un rôle important dans notre formation.
Die Zusammenarbeit zwischen den Studenten und den Professoren ist sehr gut.,La collaboration entre les étudiants et les professeurs est très bonne.
Die Olympischen Spiele sind ein großartiges Ereignis für alle Sportler.,Les jeux olympiques sont un événement formidable pour tous les athlètes.
"Ich freue mich darauf, bald wieder mit meinen Freunden zu feiern.",Je me réjouis de fêter bientôtagain avec mes amis.
"Mein Lieblingssport ist Basketball, weil es sehr spannend ist.","Mon sport préféré est le basket-ball, car c'est très excitant."
Er sollte nicht so zu mir reden.,Me parler sur ce ton!
"Die Stadt bietet viele kulturelle Veranstaltungen an, wie Konzerte oder Ausstellungen.","La ville propose de nombreux événements culturels, comme des concerts ou des expositions."
Sie führte mich herum und stellte mich ihren neuen Freunden vor.,Elle m'a fait visiter et m'a présenté à ses nouveaux amis.
"Die Universitätsbibliothek ist mein Lieblingsort, um zu lernen und mich auf Prüfungen vorzubereiten.",La bibliothèque universitaire est mon endroit préféré pour apprendre et me préparer aux examens.
"Ein Konzert besuchen ist eine tolle Möglichkeit, Live-Musik zu hören.",Assister à un concert est une excellente façon d'entendre de la musique live.
Die Universitätsbibliothek bietet Zugang zu vielen wissenschaftlichen Artikeln und Datenbanken.,La bibliothèque universitaire offre accès à de nombreux articles scientifiques et bases de données.
"Wir haben eine Gruppe von Freunden, die jeden Tag zusammen essen gehen.",Nous avons un groupe d'amis qui vont manger ensemble chaque jour.
Die Natur ist wunderschön und wir sollten sie schützen und erhalten.,La nature est magnifique et nous devons la protéger et la conserver.
Ich habe einen Hund namens Max,"J'ai un chien qui s'appelle Max,"
Ich bin müde und brauche Schlaf,"Je suis fatigué et j'ai besoin de sommeil,"
"Das Arbeiten im Team ist sehr wichtig im Büro, um gemeinsam Ziele zu erreichen.","Le travail en équipe est très important au bureau, pour atteindre des objectifs communs."
"Ich kann es noch nicht auswendig, Mami.",Je ne la sais pas encore
"Ich plane, nächstes Jahr einen Sprachkurs in Spanien zu besuchen.",Je prévois de suivre un cours de langue en Espagne l'année prochaine.
Der Chef unseres Unternehmens ist sehr freundlich und unterstützt seine Mitarbeiter bei ihrer beruflichen Entwicklung.,Le patron de notre entreprise est très aimable et soutient ses employés dans leur développement professionnel.
"lch sah Bäume, Zäune, Akazien, Alleen.","Avec des arbres, des haies, des acacias, des allées."
Deine Freaks schlugen mich mit 'nem Besen!,Tes tarés au crâne rasé m'ont tabassée!
Eine gute Ausbildung ist entscheidend für den Erfolg in vielen Bereichen unseres Lebens.,Une bonne éducation est essentielle pour réussir dans de nombreux domaines de notre vie.
"Ich liebe es, mit meinen Kollegen zusammenzuarbeiten.",J'adore travailler avec mes collègues.
Mein Partner ist auch mein bester Freund und unterstützt mich in allem.,Mon partenaire est aussi mon meilleur ami et me soutient dans tout.
"Ich bin froh, dass ich eine gute Beziehung zu meinem Chef habe.",Je suis heureux d'avoir une bonne relation avec mon patron.
Wir haben gestern Abend einen schönen Film gesehen,"Nous avons vu un beau film hier soir,"
"Um dir zu sagen, dass ich tiefe Gefühle für Elizabeth habe.",Te dire que j'éprouvais de profonds sentiments pour Elizabeth.
Ich habe viele Freunde an der Universität,"J'ai beaucoup d'amis à l'université,"
Unser Team hat einen wichtigen Projektabschluss erreicht.,Notre équipe a atteint la fin d'un projet important.
Du hast sie wohl nicht alle.,"Mais, t'es cinglé ou quoi!"
"Ich tu' s für dich, John.","Pour vous, John."
Ich habe einen neuen Job gefunden,"J'ai trouvé un nouveau travail,"
Die Zusammenarbeit mit meinen Kollegen ist großartig.,La collaboration avec mes collègues est fantastique.
Die meisten meiner Freunde haben bereits ihren Abschluss gemacht und arbeiten jetzt in verschiedenen Branchen.,La plupart de mes amis ont déjà obtenu leur diplôme et travaillent maintenant dans différents domaines.
Ich gehe jeden Morgen joggen im Park.,Je vais faire du jogging tous les matins au parc.
Mein Chef ist sehr freundlich und hilft mir immer bei Problemen.,Mon patron est très gentil et m'aide toujours avec des problèmes.
"Wie lange, Trojaner, sollen wir leiden?",Combien de temps va- t- on souffrir?
Wir organisieren oft Partys und Feiern mit unseren Freunden.,Nous organisons souvent des fêtes et des célébrations avec nos amis.
"Eine einzige Delle, der geringste Kratzer, und sogleich werden die zuvor erwähnten Konsequenzen sicherlich uns betreffen","La moindre éraflure, la moindre dépression, et les répercutions que j'ai énoncées précédemment, ne manqueront pas de survenir..."
"Das Radfahren ist ein gesunder und umweltfreundlicher Weg, um durch die Stadt zu kommen.",Le vélo est un moyen sain et respectueux de l'environnement pour se déplacer dans la ville.
"Ein Sprachkurs besuchen kann sehr hilfreich sein, wenn man ins Ausland reist.",Fréquenter un cours de langue peut être très utile lorsqu'on voyage à l'étranger.
"Es gibt viele verschiedene Arten von Unterhaltung, wie z.B. Filme, Theater oder Konzerte.","Il existe de nombreux types de divertissement, tels que les films, le théâtre ou les concerts."
Das Buch ist sehr langweilig,"Le livre est très ennuyeux,"
lch kann für Sie Besuche bei Takahashi arrangieren.,Vous pourrez rendre visite à Takahashi.
Der Besuch eines Museums kann sehr aufschlussreich sein.,Visiter un musée peut être très édifiant.
"Schwimmen ist ein fantastischer Weg, um fit zu bleiben und Stress abzubauen.",La natation est un moyen fantastique de rester en forme et de réduire le stress.
"Was möchtet ihr alles getan haben, bevor ihr sterbt?",Qu'aimeriez- vous avoir fait avant de mourir?
"Soll ich sagen, ich habe die größte Story des Krieges verpasst?",Je rentre en me disant que j'ai raté le plus beau reportage?
"In meinem ersten Studienjahr war ich sehr schüchtern, aber dann fand ich schnell Anschluss an eine Gruppe von Freunden.","Durant ma première année d'étude, j'étais très timide, mais ensuite j'ai rapidement trouvé mon footing auprès d'un groupe d'amis."
Die Formel-1-Rennen sind sehr aufregend und spannend.,Les courses de Formule 1 sont très excitantes et passionnantes.
"Eine gute Ausbildung ist wichtig, um einen guten Job zu finden.",Une bonne formation est importante pour trouver un bon emploi.
"Am Wochenende gehe ich oft ins Kino, um mich zu entspannen.","Le week-end, j'ai souvent l'habitude d'aller au cinéma pour me détendre."
Wie sieht es mit lnfanterie aus?,ll y a de l'infanterie?
"Das Spielen von Videospielen kann eine unterhaltsame Freizeitaktivität sein, wenn man es nicht übertreibt.",Jouer aux jeux vidéo peut être une activité de loisirs amusante si on ne l'excède pas.
Er kam und zeigte mir den Weg.,Il est descendu pour me montrer la voie.
Ich habe gestern mein Fahrrad repariert,"J'ai réparé mon vélo hier,"
"Ich bin froh, dass ich meine Masterarbeit fertiggestellt habe.",Je suis heureux d'avoir terminé mon mémoire de master.
Ein Konzertbesuch bei einem bekannten Künstler ist oft ein unvergessliches Erlebnis.,Assister à un concert d'un artiste connu est souvent une expérience inoubliable.
Mein Chef ist sehr zufrieden mit meiner Arbeit und hat mir recently eine Beförderung angeboten.,Mon patron est très satisfait de mon travail et m'a offert une promotion récemment.
Ich möchte am liebsten Model werden.,Mais je préférerais devenir mannequin.
Wir unterstützen uns gegenseitig in unserem Berufsleben.,Nous nous soutenons mutuellement dans notre carrière professionnelle.
"Der Film war so gut, dass ich ihn zweimal gesehen habe.",Le film était tellement bien que je l'ai vu deux fois.
"Ich verstehe nicht, warum mein Freund so distanziert ist.",Je ne comprends pas pourquoi mon ami est si distant.
Und sie findet es voll geil!,Tu me les gonfles!
"Wo wuchsen Sie auf, im Schweinekogen?",On t'a élevé à l'écurie?
"Wenn der kaputt ist, seh ich alt aus.",Comment ça va?
Ich habe einen kleinen Garten,"J'ai un petit jardin,"
Ich habe kürzlich ungewöhnliche Seelenwanderungen beobachtet.,J'ai vu un trafic d'âmes inhabituel ces derniers temps
"Mein Freund teilte mir gerade mit, dass die Gewehre dort sind, okay?",D'accord?
Die Oper von Wien ist weltberühmt und bietet eine Vielzahl an Vorstellungen an.,L'opéra de Vienne est mondialement célèbre et propose une variété de représentations.
Mein Kollege ist auch mein bester Freund aus der Uni-Zeit.,Mon collègue est aussi mon meilleur ami de mes années universitaires.
"Die Schule bietet viele verschiedene Fächer an, wie Mathematik und Deutsch.","L'école propose de nombreuses matières différentes, comme les mathématiques et l'allemand."
"Im Büro arbeite ich mit vielen Kollegen zusammen, die alle sehr freundlich sind.","Au bureau, je travaille avec de nombreux collègues qui sont tous très gentils."
Ich habe einen kleinen Hund,"J'ai un petit chien,"
"Wenn ich Urlaub habe, verbringe ich ihn gerne im Ausland.","Quand je suis en vacances, j'aime les passer à l'étranger."
"Ich bin stolz darauf, Teil eines solchen Teams zu sein, das sich gegenseitig unterstützt.",Je suis fier de faire partie d'une telle équipe qui se soutient mutuellement.
Kaya Maghan hat dich bereits abgesetzt.,Kaya Maghan t'a même déjà destitué.
Eine gute Erziehung ist entscheidend für die Zukunft unserer Kinder.,Une bonne éducation est déterminante pour l'avenir de nos enfants.
Die Schule bietet eine Vielzahl von Bildungsmöglichkeiten an.,L'école offre une variété d'opportunités éducatives.
Ein Besuch in einer neuen Stadt ist immer aufregend und spannend.,Une visite dans une nouvelle ville est toujours excitante et passionnante.
"Ist immer noch Rekord, stimmt' s?","C'est toujours le record, non?"
"Ich bin müde, ich brauche Schlaf","Je suis fatigué, j'ai besoin de sommeil,"
Der Campus unserer Universität ist wunderschön und lädt zum Verweilen ein.,Le campus de notre université est magnifique et invite à s'y attarder.
Ich bin Fan des deutschen Fußballteams und schaue mir alle Spiele an.,Je suis fan de l'équipe de football allemande et regarde tous les matchs.
"Radfahren ist eine gute Möglichkeit, die Natur zu genießen und gleichzeitig Sport zu treiben.",Le cyclisme est une bonne façon d'apprécier la nature et de faire du sport en même temps.
"Siehst Du, Königin, wie England Dich liebt.","Vois, ô M ajesté, C omme l'Angleterre t'adore."
Unser Team im Büro besteht aus sehr unterschiedlichen Persönlichkeiten.,Notre équipe au bureau est composée de personnalités très différentes.
"Die Fernsehserie ""Game of Thrones"" ist eine meiner Lieblingsserien, weil ich die Charaktere und die Handlung liebe.","La série télévisée ""Game of Thrones"" est l'une de mes séries préférées parce que j'aime les personnages et l'intrigue."
Die Büroumgebung ist sehr professionell und ich fühle mich hier wohl.,L'environnement du bureau est très professionnel et je me sens bien ici.
Aber er redete nur mit mir,"À tout à l'heure, Kevin."
Er hat nicht nur die Körper gegessen.,Ils ont inspecté l'intérieur.
Du hast mit ihr über mich geredet.,Tu lui as parlé de moi.
Nimm' s ihr nicht übel Du bist genauso,Et toi tu fais pareil
Ich habe einen Bruder und eine Schwester,"J'ai un frère et une sœur,"
Willst du auch ein bisschen Wasser?,Tu en veux?
Das Wetter ist heute sehr schlecht und regnet stark,"Le temps est très mauvais aujourd'hui et il pleut fort,"
Wir feiern den Geburtstag unseres Kollegen heute Abend.,Nous célébrons l'anniversaire de notre collègue ce soir.
Ich hab dir heute etwas besorgt.,Je t'ai trouvé un cadeau.
Bob würde seinen Anzug nur von dir stopfen lassen.,Tu es la seule à qui Bob ferait confiance pour s'occuper de son costume.
Die Kommunikation zwischen den Kollegen ist sehr wichtig.,La communication entre les collègues est très importante.
Die Stadt Rio de Janeiro ist bekannt für ihr farbenfrohes Karnevalsfest.,La ville de Rio de Janeiro est connue pour son carnaval coloré.
Ich verbringe viel Zeit mit meinen Freunden außerhalb des Studiums.,Je passe beaucoup de temps avec mes amis en dehors des études.
"Wir planen jeden Freitagabend etwas zusammen, sei es ein Kinobesuch oder ein Abendspaziergang.","Nous planifions chaque vendredi soir quelque chose ensemble, soit aller au cinéma ou faire une promenade en soirée."
"Hätte ich in Santa Maria Land gekauft, wenn ich ´ne Chance gehabt hatte... hätte ich ein Vermögen damit gemacht, wenn ich das...","Si j'avais investi là- bas quand je le pouvais, j'aurais fait fortune à l'arrivée de..."
Der Fußball ist mein Lieblingssport und ich sehe mir gerne Spiele an.,Le football est mon sport préféré et j'aime regarder les matchs.
Ich habe mein Fahrrad verkauft,J'ai vendu mon vélo
Unsere Firma bietet vielen Studenten Praktika und Jobs an.,Notre entreprise offre à de nombreux étudiants des stages et des emplois.
"Aufruhr entstand letzte Nacht in einigen Elektronikläden, die ausverkauft waren.","Hier, c'était l'émeute dans les magasins en rupture de stock."
"Ich habe einen Bruder, der in Paris wohnt","J'ai un frère qui vit à Paris,"
Die Vorlesungen sind sehr lang und anstrengend.,Les cours sont très longs et éprouvants.
Die Stadt München ist bekannt für ihr Oktoberfest und ihre Biergärten.,La ville de Munich est connue pour son Oktoberfest et ses bières-jardins.
"lhr seht nicht aus, als ob ihr aus dieser Gegend wärt.",Vous n'avez pas l'air d'être du coin.
Die Beziehungen zwischen den Mitarbeitern sind sehr wichtig für das Wohlbeing im Büro.,Les relations entre les employés sont très importantes pour le bien-être au bureau.
"Die Stellung um jeden Preis halten?""",Tenir à tout prix?
Sie hat einen roten Pullover an,"Elle porte un pulloveur rouge,"
Die Zusammenarbeit zwischen den Teams ist essentiell für den Erfolg des Projekts.,La collaboration entre les équipes est essentielle pour la réussite du projet.
"Ich plane, nächstes Jahr nach Australien zu reisen.",Je prévois de voyager en Australie l'année prochaine.
Die Lehrerin erklärt den Schülern die Geschichte der Kunst.,La professeure explique aux élèves l'histoire de l'art.
Die Teilnahme an einem internationalen Filmfestival kann sehr inspirierend sein.,Participer à un festival international de films peut être très inspirant.
"Ich bin stolz darauf, Teil eines solchen Teams zu sein.",Je suis fier de faire partie d'une telle équipe.
Das Fernsehen bietet eine Vielzahl von Sendungen und Filmen an.,La télévision offre une variété d'émissions et de films.
Die Kommunikation zwischen den Abteilungen ist sehr wichtig für den Erfolg unseres Unternehmens.,La communication entre les départements est très importante pour le succès de notre entreprise.
"Es ist nicht leicht, eine Karriere und gleichzeitig ein sociales Leben zu führen.",Ce n'est pas facile de concilier une carrière et en même temps une vie sociale.
Und aus Angst versteckst Du Dich im Kloster.,Et c'est par peur que tu veux te cacher dans un couvent!
Unsere Gruppe besteht aus fünf Personen und wir arbeiten alle zusammen.,Notre groupe se compose de cinq personnes et nous travaillons tous ensemble.
Nimm Daskal und lass uns gehen.,Descends Daskal et laisse- nous filer.
Ein Konzertbesuch ist immer ein Highlight meiner Woche.,Assister à un concert est toujours le point fort de ma semaine.
"Das Radfahren ist ein gesunder und umweltfreundlicher Weg, um zur Arbeit zu kommen.",Le vélo est un moyen sain et respectueux de l'environnement pour se rendre au travail.
"Surfen ist ein spannender Wassersport, der much Mut und Fähigkeiten erfordert.",Le surf est un sport aquatique passionnant qui exige beaucoup de courage et de compétence.
Der Rektor unserer Universität hält regelmäßig Treffen mit den Studenten ab.,Le recteur de notre université tient régulièrement des réunions avec les étudiants.
Hier kriegen wir nie was zu essen.,Je boufferais bien un morceau.
Sie hat einen schönen Garten,"Elle a un beau jardin,"
Ein guter Lehrer kann einen großen Unterschied im Lernprozess machen.,Un bon professeur peut faire une grande différence dans le processus d'apprentissage.
"Ein Theaterstück anzusehen ist eine unterhaltsame Art, die Kunst zu genießen.",Regarder une pièce de théâtre est une manière divertissante d'apprécier l'art.
Der Flug von Berlin nach London dauert etwa eine Stunde,"Le vol de Berlin à Londres dure environ une heure,"
Ich habe viele Bücher über Geschichte gelesen,"J'ai lu beaucoup de livres sur l'histoire,"
"Ich plane, bald eine Reise nach Südamerika zu machen.",Je prévois bientôt faire un voyage en Amérique du Sud.
Die Beziehungen zwischen den Studierenden sind sehr wichtig.,Les relations entre les étudiants sont très importantes.
Ich trinke jeden Tag eine Tasse Kaffee,"Je bois chaque jour une tasse de café,"
"Du sagtest ihm, daß du früher kommst.",Tu l'as prévenu de ton arrivée.
Die Stadt Paris ist bekannt für ihre wunderschönen Museen und Galerien.,La ville de Paris est connue pour ses musées et galeries magnifiques.
Die Universitätsbibliothek ist sehr umfangreich und bietet viele Ressourcen an.,La bibliothèque universitaire est très complète et offre de nombreuses ressources.
Die Blumen sind rot und sehr hübsch,"Les fleurs sont rouges et très jolies,"
Ich spreche Deutsch und Englisch,"Je parle allemand et anglais,"
"An der Universität gibt es viele Möglichkeiten, neue Leute kennenzulernen und Freundschaften zu schließen.","À l'université, il y a de nombreuses occasions de rencontrer de nouvelles personnes et de se lier d'amitié."
Ein guter Lehrer kann viel über die Welt und ihre Geheimnisse lehren.,Un bon professeur peut enseigner beaucoup sur le monde et ses secrets.
"Ich liebe es, im Sommer am Strand zu entspannen","J'adore me détendre sur la plage en été,"
"Skifahren ist ein aufregender WinterSport, der viel Spaß macht.",Le ski est un sport d'hiver excitant qui procure beaucoup de plaisir.
"Ich verbringe viel Zeit mit meinen Freunden in der Bibliothek, um für die Prüfungen zu lernen.",Je passe beaucoup de temps avec mes amis à la bibliothèque pour étudier les examens.
"Die Menschen ziehen Schmerz der Freude vor, sie setzen Leiden über Frieden.",la peine plutôt que la paix!
"Ich denke, dass es wichtig ist, eine gute Balance zwischen Arbeit und Freizeit zu finden.",Je pense qu'il est important de trouver un bon équilibre entre le travail et les loisirs.
Meine Schwester studiert an der Universität und möchte später Lehrerin werden,"Ma sœur étudie à l'université et veut devenir institutrice plus tard,"
"Das Wetter war gestern sehr schlecht, es hat viel geregnet","La météo était très mauvaise hier, il a beaucoup plu,"
Ich studiere an der Universität und habe viele Freunde dort.,J'étudie à l'université et j'ai beaucoup d'amis là-bas.
Die Teilnahme an Sportveranstaltungen kann sehr aufregend sein.,La participation à des événements sportifs peut être très excitante.
Die Universität von Berlin bietet viele verschiedene Studiengänge an.,L'université de Berlin propose de nombreux cursus différents.
Die Theatergruppe unserer Schule wird bald ein neues Stück aufführen.,La troupe théâtrale de notre école va bientôt jouer une nouvelle pièce.
Ein Abend im Theater oder bei der Oper kann sehr unterhaltsam sein.,Un soir au théâtre ou à l'opéra peut être très divertissant.
Unsere Abteilung im Büro ist sehr freundlich und unterstützend.,Notre département au bureau est très sympathique et solidaire.
Eine gute Ausbildung ist entscheidend für eine erfolgreiche Karriere.,Une bonne éducation est déterminante pour une carrière réussie.
"Was machen Sie hier in New York, Lieutenant Dan?",Qu'est- ce que vous faites ici à New York?
"Ich gehe gerne ins Kino, um mich zu entspannen.",J'aime aller au cinéma pour me détendre.
"Ich liebe es, am Strand spazieren","J'adore me promener sur la plage,"
An dieser Geschichte bin ich offenbar selbst Schuld.,C'est ma faute.
"Nein, das kommt nicht in Frage.",Il n'en est pas question.
Das Konzert gestern Abend war einfach fantastisch!,Le concert de hier soir était simplement fantastique !
"Wir haben eine Gruppe von Freunden, die sich regelmäßig treffen.",Nous avons un groupe d'amis qui se rencontrent régulièrement.
Ich liebe den Sommerurlaub am Meer,"J'adore les vacances d'été au bord de la mer,"
Ich liebe ihn und all das Zeug und...,"Je l'aime bien, malgré tous ces trucs- là."
"Das Radfahren durch die Landschaft ist eine wunderbare Art, die Natur zu genießen.",Le cyclisme à travers la campagne est une merveilleuse façon d'apprécier la nature.
"Ich weiß nicht, was gestern geschah.","Moi, je ne sais jamais ce qui s'est passé la veille."
"Ich denke, dass das Studium an der Universität eine großartige Erfahrung war.",Je pense que faire des études à l'université a été une expérience formidable.
"Ich bin glücklich, dass ich solche netten Freunde habe, die mich immer unterstützen.",Je suis heureux d'avoir de tels amis charmants qui me soutiennent toujours.
"Sie reden mich gefälligst als ""Eure Hoheit"" an.","Vous vous adresserez à moi en disant ""Votre Altesse Royale""."
"Ich liebe es, neue Leute kennenzulernen und Freundschaften zu schließen.",J'adore rencontrer de nouvelles personnes et faire des amitiés.
Die Erziehung zur Umweltschutz ist wichtig für unsere Zukunft.,L'éducation à la protection de l'environnement est importante pour notre avenir.
Der Vortrag des Gastprofessors war sehr interessant und informativ.,La conférence du professeur invité était très intéressante et informative.
"Wir machen oft Pause together, um uns zu unterhalten.",Nous faisons souvent une pause ensemble pour nous divertir.
Wir haben letztes Jahr eine Reise um die Welt gemacht,"Nous avons fait un voyage autour du monde l'année dernière,"
Ein gutes Buch kann uns auf eine andere Welt entführen und uns inspirieren.,Un bon livre peut nous emmener dans un autre monde et nous inspirer.
Welche Art Mann... denkt ständig an Fledermäuse?,Quel genre d'homme a des chauves- souris au plafond?
"Das Büro ist ein großartiger Ort, um neue Leute kennenzulernen.",Le bureau est un excellent endroit pour rencontrer de nouvelles personnes.
"Anfangs war es schwer, neue Freunde an der Universität zu finden, aber jetzt kenne ich viele Menschen.","Au début, c'était difficile de trouver de nouveaux amis à l'université, mais maintenant je connais beaucoup de gens."
"Also gut, wenn du meinst, aber ich weiß nicht.","Je suis pas si sûr, mec."
Das Office-Team ist sehr unterstützend und wir helfen uns gegenseitig.,L'équipe du bureau est très solidaire et nous nous aidons les uns les autres.
"Es wäre viel wichtiger, das Tor auf der Erde zu vernichten.","Je suis bien d'accord, Jackson."
Die Universität von Berlin bietet eine Vielzahl von Studienfächern an.,L'université de Berlin offre une grande variété de matières d'étude.
Ich habe mich für einen Sprachkurs in Frankreich angemeldet.,Je me suis inscrit à un cours de langue en France.
Jetzt läuft er auch noch wie ein Verrückter.,"Il a pas de tête mais il a des jambes, ce petit."
"Er wollte nicht Krüppel genannt werden, so wie ich nicht dumm genannt werden wollte.",Il voulait pas qu'on le traite d'infirme comme je voulais pas qu'on me traite de stupide.
Die Liebe zum Lesen beginnt oft schon in der Kindheit und bleibt ein Leben lang.,L'amour de la lecture commence souvent déjà dans l'enfance et reste toute une vie.
"Sie verließ das Hotel heute früh, als Sie Dienst hatten.",Pendant votre service...
Im Sommer gehe ich gerne schwimmen und Rad fahren.,"En été, j'aime aller nager et faire du vélo."
"Die Teamarbeit im Büro ist sehr effektiv und hilft uns, unsere Ziele zu erreichen.",Le travail d'équipe au bureau est très efficace et nous aide à atteindre nos objectifs.
Meine Mutter kocht immer sehr leckeres Essen,"Ma mère cuisine toujours des plats très délicieux,"
Was würdet ihr an meiner Stelle machen?,Que ferais- tu à ma place?
Bald ist es auch damit vorbei.,Pas de quoi me faire cirer les pompes.
Ich habe gestern mein Fahrrad verkauft,"J'ai vendu mon vélo hier,"
"Die Bibliothek ist ein Ort, an dem man in Ruhe lesen und lernen kann.",La bibliothèque est un endroit où l'on peut lire et apprendre tranquillement.
Die Atmosphäre im Büro ist sehr freundlich.,L'atmosphère dans le bureau est très accueillante.
Ich bin ein großer Fan von deutschen Autos.,Je suis un grand fanatique des voitures allemandes.
Die Blumen sind sehr schön und duften gut,"Les fleurs sont très belles et sentent bon,"
"Sie geben sich nicht zu erkennen, weil es...... eine ungeheure Panik gäbe.","lls ne se montrent pas, parce que s'ils le faisaient... ça causerait une panique générale."
In der Freizeit gehe ich gerne ins Kino oder zum Schwimmen.,"En temps libre, j'aime aller au cinéma ou faire de la natation."
Die Stadt Sydney ist bekannt für ihr Opernhaus und ihre wunderschöne Küste.,La ville de Sydney est connue pour son opéra et sa côte magnifique.
Die Stadt New York ist berühmt für ihre Broadway-Shows und Musicals.,La ville de New York est célèbre pour ses spectacles de Broadway et comédies musicales.
Er hat mir seine Karte gegeben.,Il m'a donné sa carte.
Mein Professor ist sehr freundlich und hilft mir bei meinen Studienproblemen.,Mon professeur est très gentil et m'aide avec mes problèmes d'études.
Das Schwimmen ist ein toller SommerSport.,La natation est un excellent sport d'été.
Ein guter Lehrer sollte seine Schüler motivieren und unterstützen.,Un bon professeur devrait motiver et soutenir ses élèves.
"Sag mir doch, wo du bist!",Peux- tu me dire où tu es?
Mein Vater liest gerne Bücher,"Mon père aime lire des livres,"
"Ich habe durch meine Freunde gelernt, dass es wichtig ist, ein gutes Gleichgewicht zwischen Arbeit und Freizeit zu finden.",J'ai appris grâce à mes amis qu'il est important de trouver un bon équilibre entre le travail et les loisirs.
Mein Onkel arbeitet als Lehrer an einer Grundschule und liebt seinen Beruf.,Mon oncle travaille comme enseignant dans une école primaire et aime son métier.
Ich habe zwei Brüder und eine Schwester,"J'ai deux frères et une sœur,"
"Jetzt denken Sie mal nach und hören Sie auf, ein Klugscheißer zu sein.",Vous voulez esayer?
Diese Schlüssel fand ich in meiner Tasche.,Ces clés étaient dans ma poche.
"Möglich, dass ich ab und zu mal solche Bilder betrachtet habe.",Je dis pas non...
Die Uni bietet viele Kurse und Workshops an.,L'université propose de nombreux cours et ateliers.
"Ein Auslandsstudium kann sehr bereichernd sein und bietet die Chance, neue Freunde aus verschiedenen Ländern kennenzulernen.",Un séjour d'études à l'étranger peut être très enrichissant et offre l'occasion de rencontrer de nouveaux amis issus de différents pays.
"Ich liebe es, mit meinen Freunden über unsere Träume und Ziele zu sprechen.",J'adore parler avec mes amis de nos rêves et objectifs.
Meine Lieblingssportart ist Fußball,"Mon sport préféré est le football,"
Mein Freund ist sehr gut im Tennis und gewinnt oft Turniere.,Mon ami est très doué pour le tennis et gagne souvent des tournois.
"Ein Besuch bei Freunden ist immer eine gute Gelegenheit, um schöne Erinnerungen zu machen.",Une visite chez des amis est toujours une bonne occasion de créer de beaux souvenirs.
Die Schule ist wichtig für die Ausbildung von Kindern.,L'école est importante pour la formation des enfants.
Wir haben eine tolle Arbeitsatmosphäre im Büro und jeder unterstützt den anderen.,Nous avons une excellente ambiance de travail au bureau et chacun soutient les autres.
Mein Lieblingsfilm ist ein Abenteuerfilm mit viel Action und Spannung.,Mon film préféré est un film d'aventure avec beaucoup d'action et de suspense.
"Der Film ""Titanic"" ist eines meiner Lieblingsfilme, weil die Geschichte so bewegend ist.","Le film ""Titanic"" est l'un de mes films préférés, parce que l'histoire est tellement émouvante."
Ich möchte eines Tages nach Paris reisen,"Je voudrais voyager à Paris un jour,"
Mein Partner arbeitet ebenfalls in einem Büro in der Nähe.,Mon partenaire travaille également dans un bureau à proximité.
Die Geschichte der antiken Zivilisationen ist faszinierend und komplex.,L'histoire des civilisations anciennes est fascinante et complexe.
"Man kann herumkommen auf dieser Welt, mit Pudding.",On peut aller dans le monde entier avec le pudding.
Mein Kollege ist auch mein enger Freund.,Mon collègue est aussi mon ami proche.
Mein Bruder spielt gern Fußball,"Mon frère aime jouer au football,"
Ich esse gerne Pizza und Sushi,"J'aime manger de la pizza et du sushi,"
"Die Bibliothek ist mein Lieblingsort, um zu lernen und zu lesen.",La bibliothèque est mon endroit préféré pour apprendre et lire.
"Und dann sagst du, es sei mir egal.",Tu dis que je ne veux pas écouter.
Die packen die Kostüme ein und fahren ab,On emporte les costumes.
"Meine Freunde und ich planen eine Reise nach Asien, um verschiedene Kulturen kennenzulernen.",Mes amis et moi planifions un voyage en Asie pour découvrir différentes cultures.
Der Vorgesetzte ist sehr zufrieden mit unserer Arbeit.,Le supérieur est très satisfait de notre travail.
So tief ist der Teich nicht.,Ce n´est pas une mare profonde.
"Wenn du zur Familie gehörst, grab!","Si t'es un membre de la famille, alors creuse!"
"Die Bibliothek ist ein ruhiger Ort, an dem man Bücher lesen und lernen kann.",La bibliothèque est un lieu calme où l'on peut lire des livres et apprendre.
Viele Touristen besuchen das berühmte Oktoberfest in München.,De nombreux touristes visitent la célèbre Oktoberfest à Munich.
"Die Kommunikation zwischen den Abteilungen im Büro ist sehr wichtig, um effizient zu arbeiten.",La communication entre les départements du bureau est très importante pour travailler efficacement.
"Unser Team hat einen neuen Projektmanager bekommen, der sehr kompetent ist.",Notre équipe a obtenu un nouveau gestionnaire de projet qui est très compétent.
Ein Abonnement für einen Streamingdienst ist ideal für Film- und Serienfans.,Un abonnement à un service de streaming est idéal pour les fans de films et de séries.
Mein Chef im Büro ist sehr freundlich und hilfsbereit.,Mon patron au bureau est très aimable et serviable.
"lch weiß nicht, wo die Deutschen sind!",Je ne sais pas où sont les Fritz!
"Ich möchte ein Auto kaufen, wenn ich älter bin","Je veux acheter une voiture quand je serai plus âgé,"
Mein Onkel ist ein bekannter Schauspieler und hat in vielen Filmen mitgewirkt.,Mon oncle est un acteur célèbre et a joué dans de nombreux films.
Ich bin ein großes Fan von Fernsehsendungen und serien.,Je suis un grand fan de télévision et de séries.
