German,French
Die Schauspielerin Meryl Streep hat viele Auszeichnungen erhalten.,L'actrice Meryl Streep a reçu de nombreux prix.
Ich habe zwei Brüder und eine Schwester,"J'ai deux frères et une sœur,"
Wir planen einen Ausflug mit unseren Freunden.,Nous organisons une excursion avec nos amis.
Die Universität bietet viele verschiedene Kurse an.,L'université offre de nombreux cours différents.
Die Uni bietet viele Möglichkeiten zur beruflichen Entwicklung.,L'université offre de nombreuses opportunités de développement professionnel.
Skifahren ist ein spannender Wintersport.,Le ski est un sport d'hiver passionnant.
Die Bibliothek der Schule bietet eine große Auswahl an Büchern an.,La bibliothèque de l'école offre un large choix de livres.
Der Lehrer erklärt die Aufgabe,"L'enseignant explique l'exercice,"
"Ich bin stolz darauf, Teil eines solchen Teams zu sein.",Je suis fier de faire partie d'une telle équipe.
Die Teilnahme an Sportwettkämpfen fördert den Teamgeist.,La participation aux compétitions sportives favorise l'esprit d'équipe.
Eine gute Erziehung ist wichtig für die Entwicklung eines Kindes.,Une bonne éducation est importante pour le développement d'un enfant.
Die Blumen im Garten sind wunderschön,"Les fleurs du jardin sont magnifiques,"
Ein gutes Buch kann uns zu neuen Welten und Abenteuern transportieren.,Un bon livre peut nous transporter dans de nouveaux mondes et aventures.
Eine gute Ausbildung ist wichtig für die Zukunft.,Une bonne éducation est importante pour l'avenir.
Ich freue mich auf das Konzert morgen Abend,"Je me réjouis du concert de demain soir,"
"Mein Traum ist es, einmal um die Welt zu reisen.",Mon rêve est de faire un jour le tour du monde.
"Die Freundschaften, die ich an der Universität geschlossen habe, sind sehr wertvoll.",Les amitiés que j'ai nouées à l'université sont très précieuses.
Wir helfen einander bei schwierigen Aufgaben und Projekten.,Nous nous aidons mutuellement pour les tâches et projets difficiles.
Ein Konzertbesuch in einem berühmten Theater ist ein besonderes Erlebnis.,Une visite de concert dans un théâtre célèbre est une expérience particulière.
Die Universität von Berlin bietet eine Vielzahl von Studienfächern an.,L'université de Berlin offre une grande variété de matières d'étude.
"Wandern ist ein toller Weg, um die Natur zu genießen und sich zu entspannen.",La randonnée est un excellent moyen d'apprécier la nature et de se détendre.
Die Ausbildung von jungen Menschen ist ein wichtiger Teil unserer Gesellschaft.,La formation des jeunes est une partie importante de notre société.
"Es ist nicht leicht, eine Balance zwischen Arbeit und Privatleben zu finden.",Ce n'est pas facile de trouver un équilibre entre travail et vie privée.
Ich habe einen kleinen Garten in meinem Haus,"J'ai un petit jardin dans ma maison,"
Ein Abend im Theater oder im Konzertsaal kann sehr unterhaltsam sein.,Un soir au théâtre ou en salle de concert peut être très amusant.
"Mein Kollege hat mir geholfen, eine Präsentation für den Chef vorzubereiten.",Mon collègue m'a aidé à préparer une présentation pour le patron.
Mein Freund spielt gerne Basketball und trainiert regelmäßig.,Mon ami aime jouer au basket-ball et s'entraîne régulièrement.
Mein Sohn lernt gerade Ski fahren und macht große Fortschritte.,Mon fils apprend actuellement à skier et progresse énormément.
Meine beste Freundin hat einen Job im universitären Sekretariat gefunden.,Ma meilleure amie a trouvé un emploi au secrétariat de l'université.
"Das Büro ist ein wichtiger Teil meines Lebens, da ich dort meine Karriere aufbaue.","Le bureau est une partie importante de ma vie, car c'est là que je construis ma carrière."
"Die Bibliothek ist ein wichtiger Ort, um Bücher auszuleihen und zu lernen.",La bibliothèque est un lieu important pour emprunter des livres et apprendre.
Ich verbringe gerne meine Freizeit mit Freunden und wir machen oft gemeinsam etwas.',Je passe volontiers mon temps libre avec des amis et nous faisons souvent quelque chose ensemble.
Wir haben gestern Abend einen schönen Film gesehen,"Nous avons vu un beau film hier soir,"
Die Schule ist wichtig für die Entwicklung unserer Fähigkeiten.,L'école est importante pour le développement de nos compétences.
Das Büro bietet verschiedene Kurse und Veranstaltungen zur Weiterbildung an.,Le bureau propose différents cours et événements pour la formation continue.
Ich habe einen neuen Job in einer großen Firma gefunden,"J'ai trouvé un nouveau travail dans une grande entreprise,"
Ein Besuch in einem großen Aquarium kann sehr faszinierend sein.,Une visite dans un grand aquarium peut être très fascinante.
Der Campus der Universität ist sehr schön und groß.,Le campus de l'université est très beau et grand.
"Ich liebe es, am Wochenende zu reisen","J'adore voyager le week-end,"
Ein Auslandsaufenthalt kann sehr bereichernd für unsere Persönlichkeit sein.,Un séjour à l'étranger peut être très enrichissant pour notre personnalité.
Mein Chef gibt mir gute Ratschläge und Unterstützung.,Mon chef me donne de bons conseils et me soutient.
"Der Professor hat uns eine schwierige Aufgabe gegeben, aber ich bin sicher, dass wir sie lösen können.","Le professeur nous a donné un exercice difficile, mais je suis sûr que nous pouvons le résoudre."
"Das Studium an der Universität ist nicht leicht, aber es lohnt sich.","Étudier à l'université n'est pas facile, mais ça vaut la peine."
Mein Chef ist sehr freundlich und hilfsbereit.,Mon patron est très aimable et serviable.
Meine Schwester studiert an der Universität und möchte später Lehrerin werden,"Ma sœur étudie à l'université et veut devenir institutrice plus tard,"
"Ich treibe gerne Radfahren und Wandern, um die Natur zu genießen.",J'aime faire du vélo et de la randonnée pour apprécier la nature.
Die Städte in Italien sind bekannt für ihre schöne Architektur und ihre reiche Geschichte.,Les villes d'Italie sont connues pour leur belle architecture et leur riche histoire.
Die Olympischen Spiele sind ein wichtiges Ereignis im Bereich des Sports.,Les Jeux olympiques sont un événement important dans le domaine du sport.
"Der Professor hat uns geholfen, unser Projekt erfolgreich abzuschließen.",Le professeur nous a aidés à terminer notre projet avec succès.
Die Schule hat einen neuen Lehrplan für das nächste Schuljahr eingeführt.,L'école a introduit un nouveau plan d'études pour l'année scolaire prochaine.
Unser Team im Büro arbeitet sehr gut zusammen und erreicht großartige Ergebnisse.,Notre équipe au bureau travaille très bien ensemble et obtient d'excellents résultats.
Das Fernsehen bietet viele verschiedene Sendungen und Filme an.,La télévision offre une grande variété d'émissions et de films.
"Wir haben ein Projektteam, das aus verschiedenen Abteilungen besteht.",Nous avons une équipe de projet composée de différents départements.
Die Bildung ist sehr wichtig für die Zukunft unserer Kinder.,L'éducation est très importante pour l'avenir de nos enfants.
Die digitale Revolution hat unsere Art zu kommunizieren und zu informieren verändert.,La révolution numérique a changé notre façon de communiquer et de nous informer.
Die Musik ist ein wichtiger Bestandteil unserer Kultur und Unterhaltung.,La musique est une partie intégrante de notre culture et divertissement.
"Ich liebe es, neue Leute kennenzulernen, insbesondere auf der Universität.","J'adore rencontrer de nouvelles personnes, surtout à l'université."
Das Theaterstück war sehr unterhaltsam und hat mich zum Lachen gebracht.,La pièce de théâtre était très amusante et m'a fait rire.
"Schwimmen ist ein großartiger Sport, der viele Vorteile für unsere Gesundheit hat.",La natation est un excellent sport qui a beaucoup d'avantages pour notre santé.
Der Campus unserer Universität ist sehr schön und bietet viele Möglichkeiten zur Erholung.,Le campus de notre université est très beau et offre de nombreuses possibilités de se reposer.
Die Schule beginnt nächsten Monat wieder,"L'école reprendra next mois,"
Die Musik ist meine große Leidenschaft,"La musique est ma grande passion,"
"Ich genieße es, Filme im Kino anzusehen.",J'aime regarder des films au cinéma.
Ich habe einen kleinen Hund,"J'ai un petit chien,"
"Ich freue mich darauf, nach meinem Abschluss eine gute Arbeit zu finden.",Je me réjouis de trouver un bon emploi après avoir obtenu mon diplôme.
"Die Fernsehserie ""Game of Thrones"" ist eine meiner Lieblingsserien, weil ich die Charaktere und die Handlung liebe.","La série télévisée ""Game of Thrones"" est l'une de mes séries préférées parce que j'aime les personnages et l'intrigue."
Mein Freund ist sehr gut im Tennis und gewinnt oft Turniere.,Mon ami est très doué pour le tennis et gagne souvent des tournois.
Die Zusammenarbeit zwischen den Teams ist essentiell für den Erfolg des Projekts.,La collaboration entre les équipes est essentielle pour la réussite du projet.
"Wenn ich Urlaub mache, gehe ich gerne wandern oder skifahren.","Quand je prends des vacances, j'aime aller randonner ou skier."
Mein Chef ist sehr verständnisvoll und hilft mir bei Problemen.,Mon patron est très compréhensif et m'aide avec les problèmes.
Die deutsche Sprache ist sehr komplex,"La langue allemande est très complexe,"
Die Universität ist bekannt für ihre exzellente Forschung.,L'université est connue pour ses recherches excellentes.
Sie hat einen roten Mantel an,"Elle porte un manteau rouge,"
Ich habe letztes Jahr einen Sprachkurs in Frankreich besucht.,J'ai suivi un cours de langue en France l'an dernier.
Ein Urlaub am Meer ist immer schön.,Un congé à la mer est toujours agréable.
Ich habe mich immer für das Theater interessiert und war schon in vielen Stücken auf der Bühne.,Je me suis toujours intéressé au théâtre et j'ai déjà joué dans de nombreuses pièces sur scène.
Die Universität bietet viele Kurse für ausländische Studenten an.,L'université propose de nombreux cours pour les étudiants étrangers.
Ich werde nächstes Jahr nach Deutschland zurückkehren,"Je reviendrai en Allemagne l'année prochaine,"
Die Zusammenarbeit zwischen den Teams ist sehr effizient.,La collaboration entre les équipes est très efficace.
"Ein Theaterstück besuchen und live Schauspielerei erleben, ist etwas ganz Besonderes.","Assister à une pièce de théâtre et vivre le spectacle en direct, c'est quelque chose de tout à fait spécial."
Wir haben einen sehr aktiven Verein für internationale Studenten.,Nous avons un club très actif pour les étudiants internationaux.
Die Kommunikation zwischen den Studenten und Professoren ist offen und ehrlich.,La communication entre les étudiants et les professeurs est ouverte et honnête.
Die Atmosphäre auf dem Campus ist sehr freundlich und einladend.,L'atmosphère sur le campus est très accueillante et conviviale.
Die Natur ist wunderschön und wir sollten sie schützen und erhalten.,La nature est magnifique et nous devons la protéger et la conserver.
Meine Freundin und ich teilen uns ein Zimmer im Studentenwohnheim.,Ma copine et moi partageons une chambre dans la résidence universitaire.
Ich habe letztes Jahr eine Reise nach Asien unternommen und war beeindruckt von der unterschiedlichen Kultur.,J'ai entrepris un voyage en Asie l'an dernier et j'ai été impressionné par la culture différente.
Mein Chef im Büro ist sehr freundlich und hilfsbereit.,Mon patron au bureau est très aimable et serviable.
Mein Freund ist sehr kreativ und inspiriert mich oft.,Mon ami est très créatif et m'inspire souvent.
Unser Teamarbeit-Projekt war sehr erfolgreich dank unserer guten Kommunikation.,Notre projet de travail d'équipe a été très réussi grâce à notre bonne communication.
"Die Universität bietet eine Vielzahl von Studiengängen an, darunter auch Informatik und Ingenieurwesen.","L'université offre une variété de programmes d'études, dont l'informatique et le génie."
Die Stadt London ist bekannt für ihre historischen Sehenswürdigkeiten.,La ville de Londres est connue pour ses monuments historiques.
"Ein Urlaub am Meer kann sehr entspannend sein und uns helfen, unseren Geist zu klären.",Des vacances à la mer peuvent être très relaxantes et nous aider à clarifier nos idées.
Das Fernsehen bietet eine Vielzahl von Unterhaltungsprogrammen an.,La télévision propose une variété de programmes de divertissement.
"Mein Lieblingssport ist Basketball, weil er sehr schnell und spannend ist.","Mon sport préféré est le basket-ball, car il est très rapide et passionnant."
"Der Chef ist sehr nett und hilft uns, wenn wir Probleme haben.",Le patron est très gentil et nous aide lorsque nous rencontrons des problèmes.
Das Office-Team organisiert regelmäßig Teambuilding-Aktivitäten.,L'équipe du bureau organise régulièrement des activités de construction d'équipes.
Die studentischen Organisationen bieten viele Möglichkeiten für die Selbstentwicklung.,Les organisations étudiantes offrent de nombreuses possibilités pour le développement personnel.
"Wir haben regelmäßige Meetings, um unsere Fortschritte zu diskutieren.",Nous avons des réunions régulières pour discuter de nos progrès.
Ein Abstecher nach Las Vegas bietet viele Möglichkeiten zum Spielen und Unterhalten.,Un détour à Las Vegas offre de nombreuses possibilités de jeux et divertissements.
Ich danke meinem Chef für seine Unterstützung und sein Verständnis.,Je remercie mon patron pour son soutien et sa compréhension.
"Ich gehe gerne ins Kino, um neue Filme anzusehen.",J'aime aller au cinéma pour voir des nouveaux films.
Unser Chef ist sehr nett und unterstützt uns bei unseren Projekten.,Notre patron est très gentil et nous soutient dans nos projets.
Die Atmosphäre im Büro ist sehr angenehm und entspannt.,L'atmosphère du bureau est très agréable et détendue.
Die Musik ist laut und stört mich,"La musique est forte et me dérange,"
Die Universitätsbibliothek bietet Zugang zu vielen wissenschaftlichen Artikeln und Datenbanken.,La bibliothèque universitaire offre accès à de nombreux articles scientifiques et bases de données.
"Ich bin froh, dass ich solche guten Freunde habe.",Je suis content d'avoir de tels bons amis.
"Ich schätze die Zeit, die ich mit meinen Freunden und Familie verbringen kann.",J'apprécie le temps que je peux passer avec mes amis et ma famille.
Wir haben gestern Abend einen schönen Film im Kino gesehen,"Nous avons vu un beau film au cinéma hier soir,"
Die Kommunikation mit meinen Kollegen ist sehr offen und ehrlich.,La communication avec mes collègues est très ouverte et honnête.
"Die Universität bietet viele Kurse und Seminare an, die uns helfen, unsere Fähigkeiten zu verbessern.",L'université propose de nombreux cours et séminaires qui nous aident à améliorer nos compétences.
Ich bin Student an der Universität,"Je suis étudiant à l'université,"
"Ich gehe gerne ins Fitnessstudio, um meine Gesundheit und Fitness zu verbessern.",J'aime aller à la salle de sport pour améliorer ma santé et ma condition physique.
Wir haben einen Hund zu Hause,"Nous avons un chien à la maison,"
Der Flug von Berlin nach New York dauert etwa neun Stunden,"Le vol de Berlin à New York durera environ neuf heures,"
"Die Oper ist ein Ort, an dem man klassische Musik genießen kann.",L'opéra est un lieu où l'on peut apprécier la musique classique.
Ein Wochenendausflug in die Berge kann sehr erholsam sein.,Un week-end dans les montagnes peut être très reposant.
Ein Theaterbesuch kann sehr unterhaltsam sein.,Une visite au théâtre peut être très divertissante.
Ein guter Lehrer kann viel über einen Schüler erfahren.,Un bon professeur peut apprendre beaucoup sur un élève.
"Ich bin sehr glücklich, dass ich dich getroffen habe","Je suis très heureux de t'avoir rencontré,"
Die Blumen sind sehr hübsch und duften gut,"Les fleurs sont très jolies et sentent bon,"
"Ich bin froh, dass ich solche netten Kollegen habe, mit denen ich jeden Tag arbeiten darf.",Je suis heureux d'avoir de tels collègues agréables avec lesquels je peux travailler chaque jour.
Eine Fahrt mit dem Zug durch die Schweizer Berge ist atemberaubend.,Un voyage en train à travers les montagnes suisses est à couper le souffle.
Ich bin stolz auf meine akademischen Errungenschaften.,Je suis fier de mes réalisations académiques.
Der Lehrer erklärt die Aufgaben sehr klar,"L'enseignant explique les tâches très clairement,"
Die Oper von Wien ist weltberühmt für ihre atemberaubenden Aufführungen.,L'opéra de Vienne est mondialement célèbre pour ses représentations à couper le souffle.
Ich gehe jeden Tag ins Fitnessstudio,"Je vais à la salle de sport tous les jours,"
"Ich liebe es, im Sommer am Strand zu entspannen","J'adore me détendre sur la plage en été,"
Mein Chef ist sehr zufrieden mit meiner Arbeit und gibt mir regelmäßig Feedback.,Mon patron est très satisfait de mon travail et me donne régulièrement des commentaires.
"Ich liebe es, neue Dinge zu lernen und mich weiterzuentwickeln, sei es beruflich oder privat.","J'adore apprendre de nouvelles choses et me développer, que ce soit professionnellement ou personnellement."
"Reisen kann sehr anstrengend sein, aber auch sehr lohnenswert.","Voyager peut être très fatigant, mais aussi très gratifiant."
Ich bin ein großer Bewunderer von berühmten Persönlichkeiten aus dem Bereich Unterhaltung.,Je suis un grand admirateur de personnalités célèbres dans le domaine du divertissement.
Die Filme von Quentin Tarantino sind bekannt für ihre einzigartige Erzählweise.,Les films de Quentin Tarantino sont connus pour leur façon unique de raconter des histoires.
Die Theatergruppe unserer Schule wird bald ein neues Stück aufführen.,La troupe théâtrale de notre école va bientôt jouer une nouvelle pièce.
Mein Partner arbeitet ebenfalls in einem Büro in der Nähe.,Mon partenaire travaille également dans un bureau à proximité.
Ich gehe gerne ins Kino am Wochenende,"J'aime aller au cinéma le week-end,"
Der Himmel ist heute blau und sonnig,"Le ciel est bleu et ensoleillé aujourd'hui,"
Das Büro ist sehr modern und hat eine tolle Aussicht auf die Stadt.,Le bureau est très moderne et a une vue imprenable sur la ville.
Meine Kollegen im Büro sind alle sehr freundlich.,Mes collègues de bureau sont tous très aimables.
In der Freizeit gehe ich gerne zum Fitnessstudio oder joggen.,"Pendant mon temps libre, j'aime aller à la salle de sport ou faire du jogging."
Der Lehrer erklärt die Aufgaben sehr gut,"L'enseignant explique les tâches très bien,"
"Mein Freund hat mich dazu überredet, ein Semester im Ausland zu verbringen.",Mon ami m'a convaincu de passer un semestre à l'étranger.
"Ich gehe gerne ins Kino, um Filme zu sehen","J'aime aller au cinéma pour voir des films,"
Die Blumen sind schön und duften gut,"Les fleurs sont belles et sentent bon,"
Die Atmosphäre im Büro ist sehr freundlich.,L'atmosphère dans le bureau est très accueillante.
Meine Kommilitonen sind alle sehr freundlich und helfen einander.,Mes camarades de classe sont tous très aimables et s'entraident.
Die Lehrerin erklärt den Stoff sehr klar.,L'enseignante explique la matière de manière très claire.
"Das Office-Team ist wie eine Familie für uns, weil wir alle gut miteinander kommunizieren.","L'équipe du bureau est comme une famille pour nous, car nous communiquons tous bien entre nous."
Das Fernsehen bietet viele unterschiedliche Sendungen an.,La télévision propose de nombreux programmes différents.
"Meine Freunde und ich planen eine Reise nach Barcelona, um den FC Barcelona zu sehen.",Mes amis et moi-même planifions un voyage à Barcelone pour voir le FC Barcelone.
Ein Besuch in einem Museum kann sehr informativ sein und viel über die Geschichte lehren.,Une visite dans un musée peut être très instructive et enseigner beaucoup sur l'histoire.
"Unsere Abteilung im Büro ist wie eine kleine Familie, jeder hilft dem anderen und wir arbeiten gut zusammen.","Notre département au bureau est comme une petite famille, chacun aide l'autre et nous travaillons bien ensemble."
Die Stadt Barcelona ist berühmt für ihre beeindruckenden architektonischen Sehenswürdigkeiten.,La ville de Barcelone est célèbre pour ses monuments architecturaux impressionnants.
Die Kunst ist ein wichtiger Teil unserer Geschichte und Kultur.,L'art est une partie importante de notre histoire et culture.
Meine Mutter kocht gern,"Ma mère cuisine volontiers,"
Wir machen oft Pause zusammen und unterhalten uns über unsere Wochenenden.,Nous faisons souvent une pause ensemble et nous parlons de nos week-ends.
"Ich bin froh, dass ich meine Masterarbeit fertiggestellt habe.",Je suis heureux d'avoir terminé mon mémoire de master.
Unsere Freundschaft ist sehr stark und wir helfen uns immer gegenseitig.,Notre amitié est très forte et nous nous aidons toujours mutuellement.
"Ich bin stolz darauf, Teil eines solchen Teams zu sein, das sich gegenseitig unterstützt.",Je suis fier de faire partie d'une telle équipe qui se soutient mutuellement.
"Meine Schwester liebt es, Bücher über Geschichte und Kultur zu lesen.",Ma sœur adore lire des livres sur l'histoire et la culture.
"Wenn ich Urlaub mache, möchte ich immer neue Orte erkunden.","Quand je suis en vacances, je veux toujours explorer de nouveaux endroits."
"Das Theater ist ein Ort, an dem man Kunst und Kultur erleben kann.",Le théâtre est un endroit où l'on peut expérimenter l'art et la culture.
"Mein Freund hat mich zu einer Party eingeladen, die er organisiert.",Mon ami m'a invité à une fête qu'il organise.
"Eine Fahrradtour durch die schöne Landschaft ist ein wunderbarer Weg, um die Natur zu genießen.",Une excursion à vélo à travers la belle campagne est un moyen merveilleux de profiter de la nature.
Meine beste Freundin hat gerade ihren Master-Abschluss gemacht und feiert jetzt ihre Zukunft.,Ma meilleure amie vient de décrocher son master et célèbre maintenant son avenir.
"Skifahren ist ein toller WinterSport, den man in den Alpen ausüben kann.",Le ski est un excellent sport d'hiver que l'on peut pratiquer dans les Alpes.
Ein Besuch im Kino am Wochenende ist immer unterhaltsam.,Une visite au cinéma le week-end est toujours divertissante.
"Eine Reise nach Asien kann sehr aufregend sein, aber auch anstrengend.","Un voyage en Asie peut être très excitant, mais aussi éprouvant."
Unsere Abteilung im Büro organisiert regelmäßig Team-Building-Veranstaltungen.,Notre département au bureau organise régulièrement des événements de construction d'équipe.
Das Auto fährt sehr schnell auf der Autobahn,"La voiture roule très vite sur l'autoroute,"
Das Skifahren ist ein aufregender Wintersport.,Le ski est un sport d'hiver passionnant.
Ein Studium im Ausland kann sehr bereichernd sein.,Étudier à l'étranger peut être très enrichissant.
Ich verbringe viel Zeit mit meinen Freunden außerhalb des Unterrichts.,Je passe beaucoup de temps avec mes amis en dehors des cours.
"Die Schüler müssen viel lesen, um gute Noten zu bekommen.",Les étudiants doivent lire beaucoup pour obtenir de bonnes notes.
Der Rektor unserer Universität hält regelmäßig Treffen mit den Studenten ab.,Le recteur de notre université tient régulièrement des réunions avec les étudiants.
"Ich bin dankbar für die Gelegenheit, an der Universität zu studieren.",Je suis reconnaissant pour l'opportunité d'étudier à l'université.
Ich habe mich für einen Sprachkurs in Spanien angemeldet.,Je me suis inscrit à un cours de langue en Espagne.
Die Teilnahme an Sportwettkämpfen fördert Teamarbeit und Fairplay.,La participation aux compétitions sportives encourage le travail d'équipe et le fair-play.
Die Universität bietet viele Kurse für Ausländer an.,L'université propose de nombreux cours pour les étrangers.
Das Theater ist ein wichtiger Teil unserer Kultur und Geschichte.,Le théâtre est une partie importante de notre culture et de notre histoire.
"Die Universität hat mir geholfen, meine Fähigkeiten und Kenntnisse zu verbessern.",L'université m'a aidé à améliorer mes compétences et connaissances.
Ich habe letztes Jahr einen Tauchschein gemacht und war in Ägypten zum Tauchen.,J'ai obtenu mon certificat de plongée l'an dernier et je suis allé en Égypte pour plonger.
"Ich plane einen Urlaub nach Paris, weil ich die Stadt und ihre Geschichte liebre.","Je planifie des vacances à Paris, car j'aime la ville et son histoire."
Die Universität bietet viele Kurse und Workshops für die berufliche Entwicklung.,L'université propose de nombreux cours et ateliers pour le développement professionnel.
"Wenn ich freiwillig Urlaub nehmen kann, gehe ich immer ans Meer.","Quand je peux prendre des vacances volontairement, je vais toujours à la mer."
Das Fernsehen bietet viele Unterhaltungsmöglichkeiten wie Filme und Serien.,La télévision offre de nombreuses possibilités de divertissement comme les films et les séries.
Ich gehe jeden Tag spazieren im Park,"Je vais me promener tous les jours dans le parc,"
"Mein Büro ist nicht weit von der Universität entfernt, daher kann ich leicht zwischen beiden pendeln.","Mon bureau n'est pas loin de l'université, donc je peux facilement aller et venir entre les deux."
Wir fahren jedes Jahr zum Skifahren in die Schweizer Alpen.,Nous allons skier chaque année dans les Alpes suisses.
Der Besuch eines Konzerts ist immer wieder aufregend.,Assister à un concert est toujours excitant.
Die Vorlesungen sind sehr interessant und ich lerne viel darüber.,Les cours sont très intéressants et j'apprends beaucoup à leur sujet.
Meine Freunde und ich gehen jeden Freitagabend aus und feiern.,Mes amis et moi sortons chaque vendredi soir et faisons la fête.
Die Bibliothek bietet Zugang zu einer riesigen Sammlung von Büchern und Zeitschriften.,La bibliothèque propose un accès à une énorme collection de livres et de revues.
Der Film beginnt um 20 Uhr,"Le film commence à 20 heures,"
Die Beziehungen zwischen den Studenten sind sehr wichtig für das Wohlbefinden.,Les relations entre les étudiants sont très importantes pour le bien-être.
"Skifahren ist ein aufregender WinterSport, der viel Spaß macht.",Le ski est un sport d'hiver excitant qui procure beaucoup de plaisir.
Der Lehrer erklärt die Aufgabe sehr klar,"L'enseignant explique l'exercice très clairement,"
Mein Chef ist sehr zufrieden mit meiner Arbeit im Büro.,Mon patron est très satisfait de mon travail au bureau.
Der Vorgesetzte ist sehr zufrieden mit unserer Arbeit.,Le supérieur est très satisfait de notre travail.
Mein Bruder ist ein talentierter Musiker und spielt in einer Band.,Mon frère est un musicien talentueux et joue dans un groupe.
Meine Schwester studiert Medizin an der Universität,"Ma sœur étudie la médecine à l'université,"
Ich habe einen Bruder und eine Schwester,"J'ai un frère et une sœur,"
Wir haben einen Hund namens Max,"Nous avons un chien nommé Max,"
Die Blumen sind schön und duftend,"Les fleurs sont belles et parfumées,"
Die Universität unterstützt ihre Studenten bei der Suche nach einem Praktikum oder einer Arbeit.,L'université soutient ses étudiants dans leur recherche d'un stage ou d'un emploi.
"Ein guter Freund von mir, den ich während meines Studiums getroffen habe, ist jetzt mein Geschäftspartner.",Un bon ami que j'ai rencontré pendant mes études est maintenant mon partenaire commercial.
Die Lehrerin hat uns heute über die Geschichte von Frankreich unterrichtet.,L'enseignante nous a enseigné aujourd'hui l'histoire de la France.
"Der Surfsport ist ideal für Menschen, die das Meer lieben.",Le surf est idéal pour les personnes qui aiment la mer.
"Der Sport hilft uns, unsere Gesundheit und Fitness zu verbessern.",Le sport nous aide à améliorer notre santé et notre forme physique.
Ich habe eine neue Jacke gekauft,"J'ai acheté une nouvelle veste,"
Die Balance zwischen Arbeit und Privatleben ist für mich sehr wichtig.,L'équilibre entre le travail et la vie privée est très important pour moi.
"Ich teile mein Zimmer mit meiner besten Freundin, die auch an der Universität studiert.",Je partage ma chambre avec ma meilleure amie qui étudie également à l'université.
Ein Konzertbesuch mit Freunden ist immer etwas Besonderes.,Assister à un concert avec des amis est toujours quelque chose de spécial.
"Die Schule bietet viele verschiedene Fächer an, wie Mathematik und Deutsch.","L'école propose de nombreuses matières différentes, comme les mathématiques et l'allemand."
Ich habe einen neuen Job gefunden,"J'ai trouvé un nouveau travail,"
"Radfahren ist ein gesunder Sport, der viel Spaß macht.",Le cyclisme est un sport sain qui procure beaucoup de plaisir.
"Skifahren ist ein wunderbarer WinterSport, der viel Spaß macht.",Le ski est un sport d'hiver merveilleux qui procure beaucoup de plaisir.
"Ein Besuch in einem Museum ist eine gute Gelegenheit, Geschichte zu erfahren.",Une visite dans un musée est une bonne occasion d'en apprendre sur l'histoire.
Die Stadt New York ist bekannt für ihre vielfältige Kulturszene und ihre vielen Sehenswürdigkeiten.,La ville de New York est connue pour sa scène culturelle diverse et ses nombreuses attractions.
Ich spreche ein bisschen Französisch,"Je parle un peu français,"
"Anfangs war es schwer, neue Freunde an der Universität zu finden, aber jetzt kenne ich viele Menschen.","Au début, c'était difficile de trouver de nouveaux amis à l'université, mais maintenant je connais beaucoup de gens."
Die Vorbereitung auf eine Prüfung oder einen Wettbewerb erfordert viel Disziplin und harter Arbeit.,La préparation à un examen ou à une compétition nécessite beaucoup de discipline et de travail acharné.
Ein Auslandsstudium kann sehr bereichernd für das eigene Leben sein.,Un séjour d'études à l'étranger peut être très enrichissant pour sa propre vie.
"Ich gehe gerne in das Fitnessstudio, um mich fit zu halten und gesund zu bleiben.",J'aime aller à la salle de sport pour rester en forme et rester en bonne santé.
"Radfahren ist ein gesunder Sport, der uns hilft, fit zu bleiben.",Le cyclisme est un sport sain qui nous aide à rester en forme.
Die Theateraufführung war sehr beeindruckend und hat mich zum Nachdenken angereggt.,La représentation théâtrale était très impressionnante et m'a incité à la réflexion.
Wir haben eine starke Bindung an unsere Alma Mater und sind stolz auf unsere Universität.,Nous avons un lien fort avec notre alma mater et sommes fiers de notre université.
Die Beziehungen zwischen den Studenten sind sehr wichtig für das Lernen.,Les relations entre les étudiants sont très importantes pour l'apprentissage.
"Mein Vater liebt es, im Garten zu arbeiten und Blumen zu pflanzen.",Mon père adore travailler dans le jardin et planter des fleurs.
Meine Freunde und ich gehen jeden Freitagabend ins Kino.,Mes amis et moi allons au cinéma tous les vendredis soir.
Ich bin ein großer Fan von Musikfestivals.,Je suis un grand fan de festivals de musique.
"Wir verbringen viel Zeit zusammen, obwohl wir unterschiedliche Interessen haben.","Nous passons beaucoup de temps ensemble, même si nous avons des intérêts différents."
Eine gute Ausbildung ist entscheidend für den Erfolg in vielen Bereichen unseres Lebens.,Une bonne éducation est essentielle pour réussir dans de nombreux domaines de notre vie.
"Die Universität hat eine große Auswahl an Sportmöglichkeiten, wie Fußball und Basketball.","L'université dispose d'une grande gamme de possibilités sportives, comme le football et le basket-ball."
"Ich hoffe, dass ich bald einen Job in einem großen Unternehmen finde.",J'espère que je trouverai bientôt un emploi dans une grande entreprise.
"Wir organisieren regelmäßig Team-Building-Aktivitäten, um die Zusammenarbeit zu fördern.",Nous organisons régulièrement des activités de renforcement d'équipe pour promouvoir la collaboration.
Die Schule ist ein wichtiger Teil unseres Lebens und wir sollten sie ernst nehmen.,L'école est une partie importante de notre vie et nous devons la prendre sérieusement.
"Das Radfahren ist ein gesunder und umweltfreundlicher Weg, um durch die Stadt zu kommen.",Le vélo est un moyen sain et respectueux de l'environnement pour se déplacer dans la ville.
